artist_names,track_name,peak_rank,weeks_on_chart
"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,24,29
Avicii,Wake Me Up,13,68
"Bizarrap, Residente","Residente: Bzrp Music Sessions, Vol. 49",18,3
"CKay, Dj Yo!, AX'EL",love nwantiti (feat. Dj Yo! & AX'EL) - Remix,14,27
"Tyga, Doja Cat",Freaky Deaky,83,4
"AP Dhillon, Gurinder Gill, Intense",Excuses,56,10
Arctic Monkeys,Why'd You Only Call Me When You're High?,104,33
Juice WRLD,Lucid Dreams,3,194
"Gesaffelstein, The Weeknd",Lost in the Fire (feat. The Weeknd),12,21
ROSALÍA,BIZCOCHITO,180,1
"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),4,76
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),149,22
Ariana Grande,positions,1,74
Yeat,Monëy so big,184,3
Bruno Mars,Talking to the Moon,45,50
ROSALÍA,HENTAI,186,1
Doja Cat,Ain't Shit,22,21
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,5,55
(G)I-DLE,TOMBOY,189,1
"The Chainsmokers, Coldplay",Something Just Like This,2,172
"Gabry Ponte, LUM!X, Prezioso",Thunder,110,16
Dua Lipa,Levitating,52,38
Arctic Monkeys,Do I Wanna Know?,117,34
Luan Santana,ABALO EMOCIONAL - Ao Vivo,194,1
"Shawn Mendes, Camila Cabello",Señorita,1,138
"Eminem, Dido",Stan,138,6
Lewis Capaldi,Before You Go,19,122
Beach House,Space Song,174,10
James Arthur,Say You Won't Let Go,7,268
Doja Cat,Streets,9,45
"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",1,5
Harry Styles,As It Was,1,19
"Bad Bunny, Chencho Corleone",Me Porto Bonito,2,14
Bad Bunny,Tití Me Preguntó,4,14
Kate Bush,Running Up That Hill (A Deal With God),1,11
ROSALÍA,DESPECHÁ,6,2
Bad Bunny,Efecto,7,14
Joji,Glimpse of Us,1,9
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,3,14
Steve Lacy,Bad Habit,10,5
Bad Bunny,Moscow Mule,2,14
Manuel Turizo,La Bachata,13,6
KAROL G,PROVENZA,6,16
